name_ch,name_en,team_ch,team_en,number,position,height,weight,weight,birthday,annual_salary
迈克-康利,Mike Conley,灰熊,grizzlies,11,G,1.85米/6尺1,79公斤/175磅,79公斤/175磅,1987-10-11,本年薪金：3052万美元
马克-加索尔,Marc Gasol,灰熊,grizzlies,33,C,2.16米/7尺1,116公斤/255磅,116公斤/255磅,1985-01-29,本年薪金：2412万美元
钱德勒-帕森斯,Chandler Parsons,灰熊,grizzlies,25,F,2.08米/6尺10,104公斤/230磅,104公斤/230磅,1988-10-25,本年薪金：2411万美元
凯尔-安德森,Kyle Anderson,灰熊,grizzlies,1,F,2.06米/6尺9,104公斤/230磅,104公斤/230磅,1993-09-20,本年薪金：864万美元
加莱特-坦普尔,Garrett Temple,灰熊,grizzlies,17,G-F,1.98米/6尺6,88公斤/195磅,88公斤/195磅,1986-05-08,本年薪金：800万美元
杰迈克尔-格林,JaMychal Green,灰熊,grizzlies,0,F,2.06米/6尺9,103公斤/227磅,103公斤/227磅,1990-06-21,本年薪金：787万美元
小贾伦-杰克逊,Jaren Jackson Jr.,灰熊,grizzlies,13,F,2.11米/6尺11,110公斤/242磅,110公斤/242磅,1999-09-15,本年薪金：591万美元
贾斯廷-霍勒迪,Justin Holiday,灰熊,grizzlies,7,G,1.98米/6尺6,84公斤/185磅,84公斤/185磅,1989-04-05,本年薪金：438万美元
欧米-卡斯比,Omri Casspi,灰熊,grizzlies,18,F,2.06米/6尺9,102公斤/225磅,102公斤/225磅,1988-06-22,本年薪金：217万美元
谢尔文-麦克,Shelvin Mack,灰熊,grizzlies,6,G,1.91米/6尺3,92公斤/203磅,92公斤/203磅,1990-04-22,本年薪金：203万美元
乔金-诺阿,Joakim Noah,灰熊,grizzlies,55,C,2.11米/6尺11,104公斤/230磅,104公斤/230磅,1985-02-25,本年薪金：173万美元
狄龙-布鲁克斯,Dillon Brooks,灰熊,grizzlies,24,G-F,1.98米/6尺6,102公斤/225磅,102公斤/225磅,1996-01-22,本年薪金：138万美元
伊万-拉布,Ivan Rabb,灰熊,grizzlies,10,F,2.08米/6尺10,100公斤/220磅,100公斤/220磅,1997-02-04,本年薪金：138万美元
杰文-卡特,Jevon Carter,灰熊,grizzlies,3,G,1.88米/6尺2,91公斤/200磅,91公斤/200磅,1995-09-14,本年薪金：84万美元
,Julian Washburn,灰熊,grizzlies,4,G-F,2.03米/6尺8,93公斤/205磅,93公斤/205磅,1991-12-18,本年薪金：7万美元
渡边雄太,Yuta Watanabe,灰熊,grizzlies,12,G-F,2.06米/6尺9,93公斤/205磅,93公斤/205磅,1994-10-13,本年薪金：7万美元
阿伦-克拉布,Allen Crabbe,篮网,nets,33,G-F,1.98米/6尺6,98公斤/215磅,98公斤/215磅,1992-04-09,本年薪金：1850万美元
德马雷-卡罗尔,DeMarre Carroll,篮网,nets,9,F,2.03米/6尺8,96公斤/212磅,96公斤/212磅,1986-07-27,本年薪金：1540万美元
贾里德-杜德利,Jared Dudley,篮网,nets,6,F,2.01米/6尺7,102公斤/225磅,102公斤/225磅,1985-07-10,本年薪金：953万美元
乔-哈里斯,Joe Harris,篮网,nets,12,G-F,1.98米/6尺6,99公斤/219磅,99公斤/219磅,1991-09-06,本年薪金：800万美元
丹吉洛-拉塞尔,D'Angelo Russell,篮网,nets,1,G,1.96米/6尺5,88公斤/195磅,88公斤/195磅,1996-02-23,本年薪金：702万美元
埃德-戴维斯,Ed Davis,篮网,nets,17,C,2.08米/6尺10,111公斤/245磅,111公斤/245磅,1989-06-05,本年薪金：445万美元
朗戴-霍利斯-杰弗森,Rondae Hollis-Jefferson,篮网,nets,24,F,2.01米/6尺7,97公斤/214磅,97公斤/214磅,1995-01-03,本年薪金：224万美元
贾莱特-阿伦,Jarrett Allen,篮网,nets,31,C,2.08米/6尺10,107公斤/235磅,107公斤/235磅,1998-04-21,本年薪金：203万美元
沙巴兹-内皮尔,Shabazz Napier,篮网,nets,13,G,1.85米/6尺1,79公斤/175磅,79公斤/175磅,1991-07-14,本年薪金：194万美元
卡里斯-勒韦尔,Caris LeVert,篮网,nets,22,G,2.01米/6尺7,92公斤/203磅,92公斤/203磅,1994-08-25,本年薪金：170万美元
斯潘塞-丁威迪,Spencer Dinwiddie,篮网,nets,8,G,1.98米/6尺6,91公斤/200磅,91公斤/200磅,1993-04-06,本年薪金：166万美元
扎南-穆萨,Dzanan Musa,篮网,nets,30,G-F,2.06米/6尺9,88公斤/195磅,88公斤/195磅,1999-05-08,本年薪金：163万美元
罗季翁斯-库鲁茨,Rodions Kurucs,篮网,nets,00,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1998-02-05,本年薪金：162万美元
特雷韦恩-格雷厄姆,Treveon Graham,篮网,nets,21,F,1.98米/6尺6,102公斤/226磅,102公斤/226磅,1993-10-28,本年薪金：151万美元
阿兰-威廉姆斯,Alan Williams,篮网,nets,15,F,2.03米/6尺8,118公斤/260磅,118公斤/260磅,1993-01-28,本年薪金：7万美元
西奥-平森,Theo Pinson,篮网,nets,10,G,1.98米/6尺6,99公斤/218磅,99公斤/218磅,1995-11-05,本年薪金：7万美元
达尼罗-加里纳利,Danilo Gallinari,快船,clippers,8,F,2.08米/6尺10,102公斤/225磅,102公斤/225磅,1988-08-08,本年薪金：2159万美元
托拜厄斯-哈里斯,Tobias Harris,快船,clippers,34,F,2.06米/6尺9,107公斤/235磅,107公斤/235磅,1992-07-15,本年薪金：1480万美元
马尔钦-戈塔特,Marcin Gortat,快船,clippers,13,C,2.11米/6尺11,109公斤/240磅,109公斤/240磅,1984-02-17,本年薪金：1357万美元
埃弗里-布拉德利,Avery Bradley,快船,clippers,11,G,1.88米/6尺2,82公斤/180磅,82公斤/180磅,1990-11-26,本年薪金：1200万美元
路易斯-威廉姆斯,Lou Williams,快船,clippers,23,G,1.85米/6尺1,79公斤/175磅,79公斤/175磅,1986-10-27,本年薪金：800万美元
博班-马里亚诺维奇,Boban Marjanovic,快船,clippers,51,C,2.21米/7尺3,132公斤/290磅,132公斤/290磅,1988-08-15,本年薪金：700万美元
米洛什-特奥多西奇,Milos Teodosic,快船,clippers,4,G,1.96米/6尺5,89公斤/196磅,89公斤/196磅,1987-03-19,本年薪金：630万美元
蒙特雷兹-哈勒尔,Montrezl Harrell,快船,clippers,5,F-C,2.03米/6尺8,109公斤/240磅,109公斤/240磅,1994-01-26,本年薪金：600万美元
帕特里克-贝弗利,Patrick Beverley,快船,clippers,21,G,1.85米/6尺1,84公斤/185磅,84公斤/185磅,1988-07-12,本年薪金：503万美元
卢克-理查德-巴莫特,Luc Mbah a Moute,快船,clippers,12,F,2.03米/6尺8,104公斤/230磅,104公斤/230磅,1986-09-09,本年薪金：432万美元
迈克-斯科特,Mike Scott,快船,clippers,30,F,2.03米/6尺8,107公斤/237磅,107公斤/237磅,1988-07-16,本年薪金：432万美元
谢伊-吉尔杰斯-亚历山大,Shai Gilgeous-Alexander,快船,clippers,2,G,1.98米/6尺6,82公斤/180磅,82公斤/180磅,1998-07-12,本年薪金：337万美元
杰罗姆-罗宾逊,Jerome Robinson,快船,clippers,10,G,1.96米/6尺5,86公斤/190磅,86公斤/190磅,1997-02-22,本年薪金：305万美元
